短期预测湿度 shift 60,短期预测风速 shift 60,短期预测温度 shift 60,短期预测气压 shift 60,短期预测风向sin shift 60,短期预测风向cos shift 60,实际功率,实际风速,HourOfDay
98,8.6,22.5,997,-0.2588190451025203,-0.9659258262890684,3.1799256,4.072244545,3
97,8.2,22.6,997,-0.3255681544571567,-0.9455185755993168,1.237214117,3.306031515,4
96,7.2,22.7,997,-0.4067366430757998,-0.9135454576426012,0.413842099,2.807845758,5
96,6.1,22.7,997,-0.5000000000000001,-0.8660254037844386,0.361365942,2.936909697,6
96,5.0,22.6,998,-0.601815023152048,-0.798635510047293,-0.039953847,2.556027879,7
95,4.6,22.6,998,-0.6946583704589973,-0.7193398003386511,-0.032142653,2.405340303,8
95,4.6,22.6,999,-0.7547095802227717,-0.6560590289905077,-0.073507227,2.089302212,9
95,4.7,22.7,999,-0.8191520442889916,-0.5735764363510464,0.536840998,3.18353697,10
94,4.4,22.8,999,-0.913545457642601,-0.4067366430758001,1.235562741,3.370914545,11
90,4.1,23.3,999,-0.992546151641322,0.1218693434051476,3.352253971,4.496340606,12
89,5.0,23.4,998,-0.8829475928589271,0.4694715627858904,2.806327442,3.978641818,13
88,5.0,23.4,998,-0.5591929034707473,0.8290375725550414,2.309929575,3.708389697,14
90,5.8,23.0,998,0.1736481776669303,0.984807753012208,4.324146187,4.68993,15
92,8.8,22.4,999,0.6293203910498374,0.7771459614569709,3.149155985,4.075869697,16
92,11.7,21.8,1000,0.766044443118978,0.6427876096865394,5.261622584,5.057397576,17
92,12.7,21.3,1001,0.7771459614569708,0.6293203910498375,6.802975741,5.465503333,18
91,12.3,20.8,1002,0.754709580222772,0.6560590289905073,4.96869769,4.708023939,19
88,12.0,20.4,1002,0.7071067811865476,0.7071067811865476,5.035960044,4.481638182,20
87,12.1,20.3,1002,0.6946583704589973,0.7193398003386512,3.757166001,4.065280303,21
85,12.4,20.3,1002,0.7071067811865476,0.7071067811865476,1.806962835,3.777284545,22
83,12.7,20.4,1002,0.7313537016191705,0.6819983600624985,1.363221925,3.248182121,23
81,12.7,20.5,1002,0.766044443118978,0.6427876096865394,0.151312591,2.43622697,0
80,12.5,20.5,1001,0.788010753606722,0.6156614753256583,0.365562625,2.706334576,1
78,12.3,20.5,1001,0.8191520442889918,0.573576436351046,0.059871754,2.731423939,2
79,12.2,20.4,1001,0.8386705679454239,0.5446390350150272,-0.079065205,2.585686364,3
80,12.3,20.2,1001,0.8480480961564261,0.5299192642332049,0.408310307,3.051075455,4
